Date,Social Networking(in minutes),Entertainment(in minutes),Productivity(in minutes),Other(in minutes),Creativity(in minutes),Reading and Reference(in minutes),Pickups,Notifications,Screen Time(in minutes),Less Used(in minutes),Length of Day
10/04/2020,71,214,16,0,0,0,85,107,367,66,11:28
10/05/2020,87,33,0,0,0,0,98,152,183,63,11:24
10/06/2020,178,86,19,0,0,0,102,146,375,92,11:21
10/07/2020,79,0,17,11,0,0,120,157,175,68,11:18
10/08/2020,109,64,0,22,0,0,102,115,314,119,11:14
10/09/2020,179,0,49,0,44,0,108,179,342,70,11:11
10/10/2020,148,35,0,0,16,0,120,136,303,104,11:07
10/11/2020,215,68,0,38,0,0,100,103,392,71,11:04
10/12/2020,149,15,0,0,44,0,100,150,283,75,11:00
10/13/2020,101,268,13,0,0,0,76,148,414,32,10:57
10/14/2020,67,76,0,52,0,0,75,94,261,66,10:53
10/15/2020,176,46,0,0,30,0,71,123,323,71,10:50
10/16/2020,221,0,0,9,7,0,142,182,317,80,10:46
10/17/2020,177,125,0,0,0,0,102,189,389,87,10:44
10/18/2020,249,0,18,20,0,0,101,131,346,59,10:41
10/19/2020,87,38,38,0,0,0,92,114,250,87,10:37
10/20/2020,146,39,0,17,0,0,107,125,296,94,10:34
10/21/2020,158,0,0,0,22,19,93,145,276,77,10:30
10/22/2020,257,0,0,0,35,22,97,114,382,68,10:27
10/23/2020,226,52,0,0,23,0,107,185,368,67,10:24
10/24/2020,165,0,37,40,0,0,208,539,353,111,10:21
10/25/2020,94,91,0,31,0,0,116,334,314,98,10:17
10/26/2020,119,56,0,49,0,0,103,220,293,69,10:14
10/27/2020,143,0,0,28,0,25,136,160,248,52,10:11
10/28/2020,162,55,0,0,0,27,89,155,383,139,10:08
10/29/2020,152,25,0,0,0,23,95,158,263,63,10:05
10/30/2020,211,34,0,0,0,0,105,144,337,92,10:02
10/31/2020,180,19,18,0,0,0,81,107,267,50,09:58
11/01/2020,256,0,0,0,13,24,92,120,358,65,09:55
11/02/2020,208,0,11,0,16,0,162,216,299,64,09:52
11/03/2020,271,30,34,0,0,0,134,191,426,91,09:49
11/04/2020,171,0,12,0,0,13,73,101,230,34,09:46
11/05/2020,241,19,28,0,0,0,124,193,359,71,09:43
11/06/2020,203,69,0,0,0,47,118,223,379,60,09:41
11/07/2020,305,18,0,0,0,34,117,191,434,77,09:37
11/08/2020,277,39,0,0,0,34,81,165,424,74,09:35
11/09/2020,151,0,0,16,0,30,112,155,243,46,09:31
11/10/2020,182,73,0,0,0,0,100,145,336,81,09:29
11/11/2020,196,6,19,0,0,0,130,181,267,46,09:26
11/12/2020,83,26,0,15,0,0,46,125,177,53,09:24
11/13/2020,115,0,21,0,0,0,85,104,188,52,09:20
11/14/2020,129,37,0,0,0,18,76,114,240,56,09:18
11/15/2020,187,23,0,0,20,0,85,106,316,86,09:15
11/16/2020,99,90,0,0,0,0,90,157,240,51,09:13
11/17/2020,71,0,29,0,29,0,75,103,191,62,09:10
11/18/2020,37,64,0,0,0,0,76,103,162,61,09:08
11/19/2020,152,43,16,0,0,0,97,133,293,82,09:05
11/20/2020,120,37,0,57,0,0,111,133,367,153,09:03
11/21/2020,100,0,0,19,0,11,70,95,195,65,09:00
11/22/2020,192,0,8,0,44,0,92,100,316,72,08:58
11/23/2020,210,151,0,16,0,0,141,199,439,62,08:56
11/24/2020,145,0,33,0,0,58,116,149,309,73,08:54
11/25/2020,157,35,29,0,0,0,115,227,299,78,08:52
11/26/2020,217,82,0,0,0,0,65,127,354,55,08:49
11/27/2020,106,202,0,7,0,0,101,151,358,43,08:48
11/28/2020,136,101,0,0,0,39,89,152,327,51,08:46
11/29/2020,197,72,0,0,52,0,86,114,361,40,08:44
11/30/2020,131,67,51,0,0,0,142,123,312,63,08:42
12/01/2020,77,105,12,0,0,0,65,127,238,44,08:40
12/02/2020,181,16,22,0,0,0,130,188,283,64,08:39
12/03/2020,151,35,0,0,63,0,98,185,323,74,08:38
12/04/2020,129,25,0,0,29,0,90,95,251,68,08:36
12/05/2020,179,91,0,0,0,41,117,155,378,67,08:34
12/06/2020,127,0,0,23,0,23,53,75,207,34,08:33
12/07/2020,139,0,0,31,0,34,122,162,282,78,08:32
12/08/2020,199,36,31,0,0,0,130,253,330,64,08:30
12/09/2020,111,0,15,21,0,0,121,157,210,63,08:29
12/10/2020,114,0,0,14,32,0,121,160,227,67,08:28
12/11/2020,118,0,0,43,0,44,142,185,305,100,08:27
12/12/2020,116,0,0,0,73,9,109,179,369,171,08:26
12/13/2020,226,0,0,18,0,20,108,212,269,5,08:27
